timestamp,face
2023-11-22 06:29:53.164,relax5
2023-11-22 06:30:03.168,happy5
2023-11-22 06:30:13.169,relax5
2023-11-22 06:30:23.165,relax5
2023-11-22 06:30:33.176,relax5
2023-11-22 06:30:43.169,happy5
2023-11-22 06:30:48.178,relax5
2023-11-22 06:30:58.174,relax5
2023-11-22 06:31:08.173,relax5
2023-11-22 06:31:13.177,happy5
2023-11-22 06:31:18.173,relax5
2023-11-22 06:31:28.168,relax5
2023-11-22 06:31:38.172,happy5
2023-11-22 06:31:43.171,relax5
2023-11-22 06:31:53.176,relax5
2023-11-22 06:31:58.176,happy5
2023-11-22 06:32:08.163,happy5
2023-11-22 06:32:13.168,relax5
2023-11-22 06:32:18.165,happy5
2023-11-22 06:32:23.168,relax5
2023-11-22 06:32:28.169,happy5
2023-11-22 06:32:33.173,relax5
2023-11-22 06:32:38.166,happy5
2023-11-22 06:32:48.165,happy5
2023-11-22 06:32:53.168,relax5
2023-11-22 06:33:03.172,relax5
2023-11-22 06:33:08.166,happy5
2023-11-22 06:33:13.165,relax5
2023-11-22 06:33:23.172,relax5
2023-11-22 06:33:33.175,relax5
2023-11-22 06:33:43.169,relax5
2023-11-22 06:33:53.172,relax5
2023-11-22 06:34:03.166,relax5
2023-11-22 06:34:08.168,happy5
2023-11-22 06:34:18.171,relax5
2023-11-22 06:34:28.167,relax5
2023-11-22 06:34:38.170,relax5
2023-11-22 06:34:43.167,happy5
2023-11-22 06:34:48.170,relax5
2023-11-22 06:34:58.172,happy5
2023-11-22 06:35:03.171,relax5
2023-11-22 06:35:13.167,relax5
2023-11-22 06:35:18.174,happy5
2023-11-22 06:35:23.170,relax5
2023-11-22 06:35:28.166,happy5
2023-11-22 06:35:33.169,relax5
2023-11-22 06:35:38.164,happy5
2023-11-22 06:35:48.172,relax5
2023-11-22 06:35:58.164,happy5
2023-11-22 06:36:03.166,relax5
2023-11-22 06:36:13.167,relax5
2023-11-22 06:36:23.168,relax5
2023-11-22 06:36:33.165,happy5
2023-11-22 06:36:38.167,relax5
2023-11-22 06:36:43.170,happy5
2023-11-22 06:36:48.164,relax5
2023-11-22 06:36:58.185,relax5
2023-11-22 06:37:08.175,relax5
2023-11-22 06:37:18.172,relax5
2023-11-22 06:37:28.166,relax5
2023-11-22 06:37:38.176,happy5
2023-11-22 06:37:43.173,relax5
2023-11-22 06:37:48.169,happy5
2023-11-22 06:37:53.176,relax5
2023-11-22 06:37:58.172,happy5
2023-11-22 06:38:03.180,relax5
2023-11-22 06:38:13.169,relax5
2023-11-22 06:38:23.171,relax5
2023-11-22 06:38:28.165,happy5
2023-11-22 06:38:33.170,relax5
2023-11-22 06:38:43.170,relax5
2023-11-22 06:38:53.166,relax5
2023-11-22 06:39:03.166,relax5
2023-11-22 06:39:13.174,relax5
2023-11-22 06:39:23.167,relax5
2023-11-22 06:39:33.175,relax5
2023-11-22 06:39:43.176,relax5
2023-11-22 06:39:48.170,happy5
2023-11-22 06:39:53.172,relax5
2023-11-22 06:40:03.170,happy5
2023-11-22 06:40:13.175,happy5
2023-11-22 06:40:23.165,happy5
2023-11-22 06:40:33.177,relax5
2023-11-22 06:40:38.169,happy5
2023-11-22 06:40:48.174,relax5
2023-11-22 06:40:58.178,relax5
2023-11-22 06:41:08.170,relax5
2023-11-22 06:41:13.166,happy5
2023-11-22 06:41:18.177,relax5
2023-11-22 06:41:23.167,happy5
2023-11-22 06:41:33.168,relax5
2023-11-22 06:41:43.171,happy5
2023-11-22 06:41:53.167,happy5
2023-11-22 06:42:03.168,happy5
2023-11-22 06:42:08.172,relax5
2023-11-22 06:42:18.166,relax5
2023-11-22 06:42:28.178,relax5
2023-11-22 06:42:38.167,relax5
2023-11-22 06:42:43.165,happy5
2023-11-22 06:42:48.178,relax5
2023-11-22 06:42:58.171,relax5
2023-11-22 06:43:08.171,happy5
2023-11-22 06:43:18.169,relax5
2023-11-22 06:43:23.172,happy5
2023-11-22 06:43:28.171,relax5
2023-11-22 06:43:38.172,relax5
2023-11-22 06:43:48.169,relax5
2023-11-22 06:43:58.168,happy5
2023-11-22 06:44:03.174,relax5
2023-11-22 06:44:13.165,relax5
2023-11-22 06:44:18.169,happy5
2023-11-22 06:44:28.177,relax5
2023-11-22 06:44:38.168,relax5
2023-11-22 06:44:48.171,relax5
2023-11-22 06:44:53.169,happy5
2023-11-22 06:44:58.177,relax5
2023-11-22 06:45:08.165,relax5
2023-11-22 06:45:18.172,happy5
2023-11-22 06:45:28.166,relax5
2023-11-22 06:45:33.167,happy5
2023-11-22 06:45:38.166,relax5
2023-11-22 06:45:48.168,relax5
2023-11-22 06:45:58.167,happy5
2023-11-22 06:46:03.169,relax5
2023-11-22 06:46:13.171,relax5
2023-11-22 06:46:23.169,relax5
2023-11-22 06:46:33.173,relax5
2023-11-22 06:46:38.171,happy5
2023-11-22 06:46:43.172,relax5
2023-11-22 06:46:53.165,relax5
2023-11-22 06:47:03.176,relax5
2023-11-22 06:47:13.169,happy5
2023-11-22 06:47:23.171,happy5
2023-11-22 06:47:28.169,relax5
2023-11-22 06:47:33.170,happy5
2023-11-22 06:47:38.168,relax5
2023-11-22 06:47:48.172,happy5
2023-11-22 06:47:53.168,relax5
2023-11-22 06:48:03.177,relax5
2023-11-22 06:48:13.176,happy5
2023-11-22 06:48:18.177,relax5
2023-11-22 06:48:28.178,relax5
2023-11-22 06:48:33.174,happy5
2023-11-22 06:48:43.169,relax5
2023-11-22 06:48:53.170,relax5
2023-11-22 06:49:03.177,happy5
2023-11-22 06:49:08.179,relax5
2023-11-22 06:49:13.173,happy5
2023-11-22 06:49:18.176,relax5
2023-11-22 06:49:23.169,happy5
2023-11-22 06:49:33.169,relax5
2023-11-22 06:49:38.169,happy5
2023-11-22 06:49:48.168,happy5
2023-11-22 06:49:58.168,happy5
2023-11-22 06:50:03.180,relax5
2023-11-22 06:50:13.168,relax5
2023-11-22 06:50:23.171,relax5
2023-11-22 06:50:33.167,relax5
2023-11-22 06:50:43.172,relax5
2023-11-22 06:50:53.166,happy5
2023-11-22 06:50:58.174,relax5
2023-11-22 06:51:08.177,relax5
2023-11-22 06:51:18.167,relax5
2023-11-22 06:51:28.167,relax5
2023-11-22 06:51:38.169,relax5
2023-11-22 06:51:48.172,relax5
2023-11-22 06:51:58.173,relax5
2023-11-22 06:52:08.176,happy5
2023-11-22 06:52:18.166,happy5
2023-11-22 06:52:28.168,relax5
2023-11-22 06:52:38.166,relax5
2023-11-22 06:52:48.177,happy5
2023-11-22 06:52:58.165,relax5
2023-11-22 06:53:08.169,relax5
2023-11-22 06:53:18.176,relax5
2023-11-22 06:53:28.166,relax5
2023-11-22 06:53:38.178,relax5
2023-11-22 06:53:48.166,relax5
2023-11-22 06:53:58.169,relax5
2023-11-22 06:54:08.172,relax5
2023-11-22 06:54:18.169,relax5
2023-11-22 06:54:23.174,happy5
2023-11-22 06:54:28.165,relax5
2023-11-22 06:54:38.171,happy5
2023-11-22 06:54:43.164,relax5
2023-11-22 06:54:53.168,relax5
2023-11-22 06:55:03.166,relax5
2023-11-22 06:55:13.168,relax5
2023-11-22 06:55:23.166,relax5
2023-11-22 06:55:33.176,relax5
2023-11-22 06:55:43.167,relax5
2023-11-22 06:55:53.168,relax5
2023-11-22 06:56:03.170,relax5
2023-11-22 06:56:08.165,happy5
2023-11-22 06:56:18.164,relax5
2023-11-22 06:56:28.165,relax5
2023-11-22 06:56:38.171,relax5
2023-11-22 06:56:48.175,happy5
2023-11-22 06:56:53.171,relax5
2023-11-22 06:56:58.175,sadness5
2023-11-22 06:57:03.168,relax5
2023-11-22 06:57:13.168,relax5
2023-11-22 06:57:23.174,relax5
2023-11-22 06:57:33.166,happy5
2023-11-22 06:57:38.170,relax5
2023-11-22 06:57:48.170,relax5
2023-11-22 06:57:58.166,relax5
2023-11-22 06:58:03.175,happy5
2023-11-22 06:58:13.165,relax5
2023-11-22 06:58:23.166,happy5
2023-11-22 06:58:28.165,relax5
2023-11-22 06:58:38.165,relax5
2023-11-22 06:58:48.175,relax5
2023-11-22 06:58:58.166,relax5
2023-11-22 06:59:08.165,happy5
2023-11-22 06:59:18.167,relax5
2023-11-22 06:59:28.172,happy5
2023-11-22 06:59:33.165,relax5
2023-11-22 06:59:38.165,happy5
2023-11-22 06:59:43.166,relax5
2023-11-22 06:59:53.165,relax5
2023-11-22 07:00:03.175,relax5
2023-11-22 07:00:13.170,relax5
2023-11-22 07:00:18.181,happy5
2023-11-22 07:00:23.165,relax5
2023-11-22 07:00:33.165,relax5
2023-11-22 07:00:38.165,happy5
2023-11-22 07:00:43.165,relax5
2023-11-22 07:00:53.169,relax5
2023-11-22 07:01:03.173,happy5
2023-11-22 07:01:08.166,relax5
2023-11-22 07:01:18.171,relax5
2023-11-22 07:01:23.178,happy5
2023-11-22 07:01:28.169,relax5
2023-11-22 07:01:38.169,relax5
2023-11-22 07:01:48.167,relax5
2023-11-22 07:01:58.169,relax5
2023-11-22 07:02:08.164,happy5
2023-11-22 07:02:18.171,relax5
2023-11-22 07:02:28.172,relax5
2023-11-22 07:02:33.167,happy5
2023-11-22 07:02:43.175,relax5
2023-11-22 07:02:53.166,happy5
2023-11-22 07:02:58.164,relax5
2023-11-22 07:03:03.166,happy5
2023-11-22 07:03:08.176,relax5
2023-11-22 07:03:13.180,happy5
2023-11-22 07:03:23.169,relax5
2023-11-22 07:03:33.169,relax5
2023-11-22 07:03:43.166,happy5
2023-11-22 07:03:53.164,relax5
2023-11-22 07:03:58.167,happy5
2023-11-22 07:04:03.170,relax5
2023-11-22 07:04:13.170,relax5
2023-11-22 07:04:23.167,relax5
2023-11-22 07:04:28.165,happy5
2023-11-22 07:04:33.170,relax5
2023-11-22 07:04:43.166,relax5
2023-11-22 07:04:53.169,happy5
2023-11-22 07:04:58.166,relax5
2023-11-22 07:05:08.178,happy5
2023-11-22 07:05:13.165,relax5
2023-11-22 07:05:23.173,happy5
2023-11-22 07:05:33.174,relax5
2023-11-22 07:05:38.181,happy5
2023-11-22 07:05:43.179,relax5
2023-11-22 07:05:53.168,relax5
2023-11-22 07:06:03.165,relax5
2023-11-22 07:06:13.168,relax5
2023-11-22 07:06:23.167,happy5
2023-11-22 07:06:28.170,relax5
2023-11-22 07:06:33.165,happy5
2023-11-22 07:06:43.166,relax5
2023-11-22 07:06:53.165,happy5
2023-11-22 07:06:58.164,relax5
2023-11-22 07:07:08.169,relax5
2023-11-22 07:07:18.168,relax5
2023-11-22 07:07:23.167,happy5
2023-11-22 07:07:33.169,relax5
2023-11-22 07:07:38.166,happy5
2023-11-22 07:07:43.165,relax5
2023-11-22 07:07:53.167,happy5
2023-11-22 07:07:58.166,relax5
2023-11-22 07:08:03.172,happy5
2023-11-22 07:08:08.166,relax5
2023-11-22 07:08:18.168,relax5
