timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:06:33.682,0.236,53,1124,303.0710754394531,0.519933819770813,398.76373291015625,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:06:35.015,0.236,51,1478,339.0538635253906,0.5480587482452393,383.4936218261719,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:06:36.904,0.236,51,1148,342.49444580078125,0.5514921545982361,380.28375244140625,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:06:38.565,0.236,53,688,342.6777648925781,0.5505291819572449,386.38623046875,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:08:49.462,0.236,141,424,341.8968200683594,0.548194944858551,388.5400390625,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:08:49.466,0.236,82,728,335.4884338378906,0.5249944925308228,360.2115783691406,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:08:50.684,0.236,78,1102,334.7626953125,0.5242822766304016,360.5419006347656,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:11.494,0.236,47,1256,351.6719665527344,0.5371418595314026,357.5100402832031,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:19.669,0.236,238,252,357.1239013671875,0.5508977174758911,399.7925109863281,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:32.818,0.236,238,252,359.5665283203125,0.5567713379859924,399.7821960449219,0.9666666388511658,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:33.119,0.236,238,252,361.51434326171875,0.5614701509475708,398.5018615722656,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8333333134651184,0.8333333134651184
2023-11-22 06:09:33.782,0.236,206,646,360.42156982421875,0.5554319620132446,403.29498291015625,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8333333134651184,0.8333333134651184
2023-11-22 06:09:34.194,0.236,196,388,358.00079345703125,0.5492984056472778,405.90765380859375,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:35.029,0.236,166,820,352.1512756347656,0.5259534120559692,413.06549072265625,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8666666746139526,0.8666666746139526
2023-11-22 06:09:35.664,0.236,155,494,348.4728698730469,0.5165770649909973,417.155029296875,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
